fecha	dds	variedad	sistema	rendimiento	NG	LP	NG.llenos	NG.vanos	PG llenos	PG vanos	PT granos	FP	LG	AG	EG
31/07/2023	130	INIA-Capirona	Tradicional	6474	59	25.33	156	14	4.676	0.075	4.751	0.92	10.1	1.99	2.49
31/07/2023	130	INIA-Capirona	Tradicional	6867	53	25.65	172	16	5.353	0.076	5.429	0.91	10.2	2.03	2.51
31/07/2023	130	INIA-Capirona	Cordel	6539	34	24.98	209	18	6.19	0.094	6.284	0.92	9.89	2.02	2.49
31/07/2023	130	INIA-Capirona	Cordel	7959	38	25.2	208	10	6.091	0.065	6.157	0.95	10.01	2.05	2.44
31/07/2023	130	INIA-Capirona	Cordel	7090	31	24.75	209	14	6.181	0.075	6.256	0.93	8.98	1.94	2.32
31/07/2023	130	INIA-Capirona	Cordel	7972	33	25	209	14	6.208	0.218	6.426	0.94	9.91	2.02	2.42
31/07/2023	130	INIA 507-Conquista certificada	Tradicional	8371	71										
31/07/2023	130	INIA 507-Conquista certificada	Tradicional	8146	60	25.75	171	21	5.004	0.124	5.128	0.89	10.04	1.99	2.28
31/07/2023	130	INIA 507-Conquista certificada	Tradicional	9278	75										
31/07/2023	130	INIA 507-Conquista certificada	Tradicional	6927	58	24.73	142	12	4.044	0.123	4.167	0.92	9.5	2	2.48
31/07/2023	130	INIA 507-Conquista certificada	Tradicional	8253	59										
31/07/2023	130	INIA 507-Conquista certificada	Tradicional	7049	49										
31/07/2023	130	INIA 507-Conquista Registrada	Cordel	8259	32	25.4	185	13	4.759	0.076	4.835	0.93	10.11	1.99	2.19
31/07/2023	130	INIA 507-Conquista Registrada	Cordel	5434	26	25.18	171	8	4.894	0.069	4.963	0.95	9.93	1.95	2.39
31/07/2023	130	INIA 507-Conquista Registrada	Cordel	6647	34	25.85	163	12	4.417	0.094	4.511	0.93	9.25	1.91	2.39
31/07/2023	130	INIA 507-Conquista Registrada	Cordel	5564	27										
31/07/2023	130	INIA 507-Conquista Registrada	Cordel	8031	39	26.03	182	15	5.485	0.072	5.557	0.93	9.12	1.95	2.29
31/07/2023	130	INIA 507-Conquista Registrada	Cordel	5522	33										
31/07/2023	130	INIA 509-Esperanza Registrada	Cordel	6500	32	21.25	155	9	4.415	0.111	4.526	0.95	9.22	1.85	2.54
31/07/2023	130	INIA 509-Esperanza Registrada	Cordel	8360	34										
31/07/2023	130	INIA 509-Esperanza Registrada	Cordel	8895	31	21.9	177	14	4.921	0.083	5.004	0.93	9.26	1.94	2.32
31/07/2023	130	INIA 509-Esperanza Registrada	Cordel	9393	34										
31/07/2023	130	INIA 509-Esperanza Registrada	Cordel	9192	38	22.28	157	12	4.481	0.206	4.688	0.8	9.11	2.06	2.5
31/07/2023	130	INIA 509-Esperanza Registrada	Cordel	7800	36	23.38	162	16	5.235	0.076	5.311	0.91	9.44	2.07	2.47
