fecha	dds	codigo	variedad	sistema	rendimiento	NG	C	H	NM 	PE	lp	NG.llenos	NG.vanos	PG llenos	PG vanos	PT granos	fp	LG	AG	RG	NDVI	CIGREEN	CVI	EVI 	GNDVI	LCI	MCARI	RECL	SAVI
31/07/2023	130	capirona 1	capirona	Tradicional	6474	59					25.33	156	14	4.676	0.075	4.751	0.92	10.1	1.99	2.49	0.545	1.874	2.442	0.359	0.479	0.545	0.248	2.45	0.364
31/07/2023	130	capirona 2	capirona	Tradicional	6867	53					25.65	172	16	5.353	0.076	5.429	0.91	10.2	2.03	2.51	0.587	1.982	2.31	0.4	0.492	0.587	0.337	2.947	0.396
31/07/2023	130	capirona 3	capirona	Cordel	6539	34					24.98	209	18	6.19	0.094	6.284	0.92	9.89	2.02	2.49	0.566	1.971	2.454	0.395	0.492	0.566	0.305	2.691	0.393
31/07/2023	130	capirona 4	capirona	Cordel	7959	38					25.2	208	10	6.091	0.065	6.157	0.95	10.01	2.05	2.44	0.65	2.366	2.379	0.473	0.537	0.65	0.429	3.896	0.455
31/07/2023	130	capirona 5	capirona	Cordel	7090	31					24.75	209	14	6.181	0.075	6.256	0.93	8.98	1.94	2.32	0.726	2.919	2.39	0.554	0.588	0.726	0.515	5.632	0.516
31/07/2023	130	capirona 6	capirona	Cordel	7972	33					25	209	14	6.208	0.218	6.426	0.94	9.91	2.02	2.42	0.672	2.486	2.379	0.5	0.55	0.672	0.447	4.267	0.477
31/07/2023	130	conquista certificada 3.1	conquista certificada	Tradicional	8371	71															0.643	2.023	1.985	0.461	0.499	0.643	0.466	3.683	0.45
31/07/2023	130	conquista certificada 4	conquista certificada	Tradicional	8146	60					25.75	171	21	5.004	0.124	5.128	0.89	10.04	1.99	2.28	0.674	2.283	2.097	0.543	0.53	0.674	0.569	4.267	0.508
31/07/2023	130	conquista certificada 4.1	conquista certificada	Tradicional	9278	75															0.733	2.862	2.275	0.577	0.585	0.733	0.61	5.737	0.536
31/07/2023	130	conquista certificada 5	conquista certificada	Tradicional	6927	58					24.73	142	12	4.044	0.123	4.167	0.92	9.5	2	2.48	0.77	3.684	2.816	0.567	0.645	0.77	0.475	6.971	0.529
31/07/2023	130	conquista certificada 5.1	conquista certificada	Tradicional	8253	59															0.752	3.13	2.365	0.635	0.606	0.752	0.653	6.381	0.574
31/07/2023	130	conquista certificada 6.1	conquista certificada	Tradicional	7049	49															0.651	2.128	2.07	0.445	0.512	0.651	0.419	3.842	0.433
31/07/2023	130	conquista registrada 1	conquista registrada	Cordel	8259	32					25.4	185	13	4.759	0.076	4.835	0.93	10.11	1.99	2.19	0.766	3.702	2.877	0.561	0.645	0.766	0.448	6.866	0.524
31/07/2023	130	conquista registrada 2	conquista registrada	Cordel	5434	26					25.18	171	8	4.894	0.069	4.963	0.95	9.93	1.95	2.39	0.791	4.157	3.043	0.554	0.672	0.791	0.414	7.931	0.519
